bert_match_type,llm_match_type,eth_match_type,bert_label_gold,bert_gold_start,bert_gold_end,bert_gold_text,bert_sentence
M,C,N,temporal,191.0,202.0,31-JUL-2011,All the serious adverse drug reactions (SADR) notified with tramadol hydrochloride to the French PharmacoVigilance Centres (CRPV) network and pharmaceutical companies between 01-AUG-2010 and 31-JUL-2011 were analyzed.
M,N,N,temporal,9.0,21.0,unknown date,"Also, on unknown date, the patient experienced hypoglycemia (values not provided) and lispro insulin was discontinued."
M,N,N,ae,47.0,59.0,hypoglycemia,"Also, on unknown date, the patient experienced hypoglycemia (values not provided) and lispro insulin was discontinued."
M,N,N,status,105.0,117.0,discontinued,"Also, on unknown date, the patient experienced hypoglycemia (values not provided) and lispro insulin was discontinued."
C,C,N,mae,38.0,89.0,"so confused that she could not talk, read, or think","Also, the patient stated that she was so confused that she could not talk, read, or think."
M,C,N,ae,34.0,44.0,tooth pain,"Also, the patient stated that the tooth pain was so bad that she could not even chew and had to change to a liquid diet."
N,N,N,mae,65.0,84.0,could not even chew,"Also, the patient stated that the tooth pain was so bad that she could not even chew and had to change to a liquid diet."
C,C,N,ae,20.0,69.0,"blood vessel in head were ""not opening up enough""","Also, the patient's blood vessel in head were ""not opening up enough"", along with that the patient was having trouble in speech."
M,C,N,ae,103.0,127.0,having trouble in speech,"Also, the patient's blood vessel in head were ""not opening up enough"", along with that the patient was having trouble in speech."
C,N,C,ae,25.0,48.0,urinary tract infection,Alternative etiology was urinary tract infection Venetoclax.
M,M,N,sdrug,53.0,65.0,levofloxacin,"Although hypoglycemia is known to be associated with levofloxacin, patients are continually being hospitalized because of this adverse event."
M,N,N,status,98.0,110.0,hospitalized,"Although hypoglycemia is known to be associated with levofloxacin, patients are continually being hospitalized because of this adverse event."
C,M,N,sdrug,0.0,6.0,Amarel,"Amarel (glimepiride) 1 milligram, at a dosage of one dosage form a day orally since an unknown date for Type 2 Diabetes Mellitus."
N,C,N,sdrug,8.0,19.0,glimepiride,"Amarel (glimepiride) 1 milligram, at a dosage of one dosage form a day orally since an unknown date for Type 2 Diabetes Mellitus."
C,C,N,dose,21.0,77.0,"1 milligram, at a dosage of one dosage form a day orally","Amarel (glimepiride) 1 milligram, at a dosage of one dosage form a day orally since an unknown date for Type 2 Diabetes Mellitus."
N,N,N,temporal,78.0,99.0,since an unknown date,"Amarel (glimepiride) 1 milligram, at a dosage of one dosage form a day orally since an unknown date for Type 2 Diabetes Mellitus."
M,M,N,ind,104.0,128.0,Type 2 Diabetes Mellitus,"Amarel (glimepiride) 1 milligram, at a dosage of one dosage form a day orally since an unknown date for Type 2 Diabetes Mellitus."
M,M,N,sdrug,0.0,10.0,Amlodipine,Amlodipine: for cardiovascular diseases.
C,N,N,drug,0.0,5.0,Amlor,"Amlor was discontinued (no indication for the association of 2 calcium channel blockers) Laboratory exams of 07Oct2014 revealed blood creatinine level at 214mcmol/L (normal range: 62-106), estimated clearance (MDRD) at 26mL/min (normal range lower than 90) and blood sodium level at 136mmol/L (normal range: 136-145)."
M,N,N,temporal,109.0,118.0,07Oct2014,"Amlor was discontinued (no indication for the association of 2 calcium channel blockers) Laboratory exams of 07Oct2014 revealed blood creatinine level at 214mcmol/L (normal range: 62-106), estimated clearance (MDRD) at 26mL/min (normal range lower than 90) and blood sodium level at 136mmol/L (normal range: 136-145)."
M,N,N,lab,128.0,187.0,blood creatinine level at 214mcmol/L (normal range: 62-106),"Amlor was discontinued (no indication for the association of 2 calcium channel blockers) Laboratory exams of 07Oct2014 revealed blood creatinine level at 214mcmol/L (normal range: 62-106), estimated clearance (MDRD) at 26mL/min (normal range lower than 90) and blood sodium level at 136mmol/L (normal range: 136-145)."
M,N,N,lab,189.0,256.0,estimated clearance (MDRD) at 26mL/min (normal range lower than 90),"Amlor was discontinued (no indication for the association of 2 calcium channel blockers) Laboratory exams of 07Oct2014 revealed blood creatinine level at 214mcmol/L (normal range: 62-106), estimated clearance (MDRD) at 26mL/min (normal range lower than 90) and blood sodium level at 136mmol/L (normal range: 136-145)."
M,N,N,lab,261.0,316.0,blood sodium level at 136mmol/L (normal range: 136-145),"Amlor was discontinued (no indication for the association of 2 calcium channel blockers) Laboratory exams of 07Oct2014 revealed blood creatinine level at 214mcmol/L (normal range: 62-106), estimated clearance (MDRD) at 26mL/min (normal range lower than 90) and blood sodium level at 136mmol/L (normal range: 136-145)."
M,M,N,sdrug,43.0,51.0,tramadol,"Among the drugs prescribed to the patient, tramadol was a drug that could cause marked hypoglycaemia and its blood concentration was within the therapeutic range."
C,M,N,ae,87.0,100.0,hypoglycaemia,"Among the drugs prescribed to the patient, tramadol was a drug that could cause marked hypoglycaemia and its blood concentration was within the therapeutic range."
C,C,N,diagnostic,109.0,161.0,blood concentration was within the therapeutic range,"Among the drugs prescribed to the patient, tramadol was a drug that could cause marked hypoglycaemia and its blood concentration was within the therapeutic range."
M,N,N,lab,25.0,35.0,QTcF 510.1,"An ECG showed QT 502 and QTcF 510.1 assessed as clinically significant, sinus rhythm, QT prolongation (RR Grade 1:450ms-480ms; Grade 2:481ms-500ms; Grade 3:= 501ms)."
C,N,N,lab,72.0,84.0,sinus rhythm,"An ECG showed QT 502 and QTcF 510.1 assessed as clinically significant, sinus rhythm, QT prolongation (RR Grade 1:450ms-480ms; Grade 2:481ms-500ms; Grade 3:= 501ms)."
N,N,N,lab,86.0,101.0,QT prolongation,"An ECG showed QT 502 and QTcF 510.1 assessed as clinically significant, sinus rhythm, QT prolongation (RR Grade 1:450ms-480ms; Grade 2:481ms-500ms; Grade 3:= 501ms)."
N,N,N,lab,103.0,125.0,RR Grade 1:450ms-480ms,"An ECG showed QT 502 and QTcF 510.1 assessed as clinically significant, sinus rhythm, QT prolongation (RR Grade 1:450ms-480ms; Grade 2:481ms-500ms; Grade 3:= 501ms)."
N,N,N,lab,127.0,146.0,Grade 2:481ms-500ms,"An ECG showed QT 502 and QTcF 510.1 assessed as clinically significant, sinus rhythm, QT prolongation (RR Grade 1:450ms-480ms; Grade 2:481ms-500ms; Grade 3:= 501ms)."
N,N,N,lab,148.0,163.0,Grade 3:= 501ms,"An ECG showed QT 502 and QTcF 510.1 assessed as clinically significant, sinus rhythm, QT prolongation (RR Grade 1:450ms-480ms; Grade 2:481ms-500ms; Grade 3:= 501ms)."
N,C,N,diagnostic,14.0,31.0,sinus tachycardia,An ECG showed sinus tachycardia and a transthoracic echocardiography showed no abnormalities.
C,C,N,diagnostic,38.0,92.0,transthoracic echocardiography showed no abnormalities,An ECG showed sinus tachycardia and a transthoracic echocardiography showed no abnormalities.
C,C,N,diagnostic,37.0,63.0,extreme metabolic acidosis,An arterial blood gas reconfirmed an extreme metabolic acidosis and the lab results suggested acute hepatic as well as acute renal failure.
M,M,N,ae,94.0,107.0,acute hepatic,An arterial blood gas reconfirmed an extreme metabolic acidosis and the lab results suggested acute hepatic as well as acute renal failure.
M,M,N,ae,119.0,138.0,acute renal failure,An arterial blood gas reconfirmed an extreme metabolic acidosis and the lab results suggested acute hepatic as well as acute renal failure.
M,C,N,lab,46.0,62.0,extreme acidosis,"An arterial blood gas taken during CPR showed extreme acidosis and hypoglycaemia (5 mg/dl, normal value 75-110 mg/dl), for which hypertonic glucose and sodium bicarbonate were administered."
M,M,N,lab,67.0,117.0,"hypoglycaemia (5 mg/dl, normal value 75-110 mg/dl)","An arterial blood gas taken during CPR showed extreme acidosis and hypoglycaemia (5 mg/dl, normal value 75-110 mg/dl), for which hypertonic glucose and sodium bicarbonate were administered."
M,M,N,treatment,129.0,147.0,hypertonic glucose,"An arterial blood gas taken during CPR showed extreme acidosis and hypoglycaemia (5 mg/dl, normal value 75-110 mg/dl), for which hypertonic glucose and sodium bicarbonate were administered."
M,M,N,treatment,152.0,170.0,sodium bicarbonate,"An arterial blood gas taken during CPR showed extreme acidosis and hypoglycaemia (5 mg/dl, normal value 75-110 mg/dl), for which hypertonic glucose and sodium bicarbonate were administered."
C,M,N,ae,29.0,55.0,drug-induced hypoglycaemia,An autopsy case of suspected drug-induced hypoglycaemia.
M,C,N,temporal,31.0,47.0,unspecified date,An autopsy was performed on an unspecified date.
C,C,N,lab,3.0,84.0,"echocardiogram showed a good left ventricular ejection fraction, estimated at 56%","An echocardiogram showed a good left ventricular ejection fraction, estimated at 56%."
C,C,N,lab,3.0,84.0,"echocardiogram showed a good left ventricular ejection fraction, estimated at 56%","An echocardiogram showed a good left ventricular ejection fraction, estimated at 56%."
M,M,C,ae,54.0,78.0,congestive heart failure,An elderly male patient (exact age unknown) developed congestive heart failure and acute renal failure approximately one week after completing a 5-day course of Vidaza 100 mg/m2/day (therapy dates and date of event onset not known).
M,M,N,ae,83.0,102.0,acute renal failure,An elderly male patient (exact age unknown) developed congestive heart failure and acute renal failure approximately one week after completing a 5-day course of Vidaza 100 mg/m2/day (therapy dates and date of event onset not known).
M,N,N,temporal,117.0,131.0,one week after,An elderly male patient (exact age unknown) developed congestive heart failure and acute renal failure approximately one week after completing a 5-day course of Vidaza 100 mg/m2/day (therapy dates and date of event onset not known).
M,M,M,sdrug,161.0,167.0,Vidaza,An elderly male patient (exact age unknown) developed congestive heart failure and acute renal failure approximately one week after completing a 5-day course of Vidaza 100 mg/m2/day (therapy dates and date of event onset not known).
M,M,N,dose,168.0,181.0,100 mg/m2/day,An elderly male patient (exact age unknown) developed congestive heart failure and acute renal failure approximately one week after completing a 5-day course of Vidaza 100 mg/m2/day (therapy dates and date of event onset not known).
M,N,N,lab,34.0,88.0,sinus rhythm with a complete right bundle-branch block,An electrocardiogram (ECG) showed sinus rhythm with a complete right bundle-branch block and QTc of 480 msec.
M,M,N,lab,93.0,108.0,QTc of 480 msec,An electrocardiogram (ECG) showed sinus rhythm with a complete right bundle-branch block and QTc of 480 msec.
C,C,N,lab,3.0,107.0,electrocardiogram (ECG) showed sinus rhythm with a complete right bundle-branch block and QTc of 480msec,An electrocardiogram (ECG) showed sinus rhythm with a complete right bundle-branch block and QTc of 480msec.
C,C,N,lab,3.0,82.0,electroencephalogram (EEG) showed continuous generalised epileptiform discharge,An electroencephalogram (EEG) showed continuous generalised epileptiform discharge.
C,C,N,lab,3.0,82.0,electroencephalogram (EEG) showed continuous generalized epileptiform discharge,An electroencephalogram (EEG) showed continuous generalized epileptiform discharge.
N,C,N,diagnostic,111.0,140.0,only the presence of tramadol,An extensive GC-MS (gas chromatography-mass spectrometry) analysis of the serum on admission at the ICU showed only the presence of tramadol.
M,N,N,ae,3.0,14.0,unconscious,An unconscious man with profound drug-induced hypoglycaemia.
M,N,N,sex,15.0,18.0,man,An unconscious man with profound drug-induced hypoglycaemia.
M,C,N,ae,24.0,59.0,profound drug-induced hypoglycaemia,An unconscious man with profound drug-induced hypoglycaemia.
M,C,M,ae,0.0,7.0,Anaemia,"Anaemia, anorexia, and platelets decreased was not recovered."
M,C,M,ae,23.0,42.0,platelets decreased,"Anaemia, anorexia, and platelets decreased was not recovered."
M,N,N,status,47.0,60.0,not recovered,"Anaemia, anorexia, and platelets decreased was not recovered."
C,N,C,lab,60.0,124.0,submassive hepatocytes necrosis lesions with histological aspect,Anatomopathological analysis of hepatectomised liver showed submassive hepatocytes necrosis lesions with histological aspect similar to the one usually described on paracetamol overdose.
C,C,N,temporal,12.0,29.0,January 22nd 2019,And then by January 22nd 2019 it was nearly constant.
C,N,N,dose,4.0,7.0,two,"And two had previously been in a cafe, where the patient had felt increasingly unwell and had not eaten much because of nausea."
N,N,N,mae,61.0,85.0,felt increasingly unwell,"And two had previously been in a cafe, where the patient had felt increasingly unwell and had not eaten much because of nausea."
N,N,N,mae,90.0,108.0,had not eaten much,"And two had previously been in a cafe, where the patient had felt increasingly unwell and had not eaten much because of nausea."
M,C,N,ae,120.0,126.0,nausea,"And two had previously been in a cafe, where the patient had felt increasingly unwell and had not eaten much because of nausea."
M,C,C,ae,28.0,47.0,grade 4 Neutropenia,Another patient experienced grade 4 Neutropenia.
C,N,N,medical history,0.0,18.0,Anti-TNF treatment,Anti-TNF treatment until 2014.
C,C,N,temporal,25.0,29.0,2014,Anti-TNF treatment until 2014.
N,N,N,sdrug,32.0,40.0,tramadol,"Apart from expected opiate ADR, tramadol induced other ADR (increased risk of convulsions) and drug interactions (serotoninergic syndrome) related to its monoaminergic properties."
M,N,N,ae,95.0,112.0,drug interactions,"Apart from expected opiate ADR, tramadol induced other ADR (increased risk of convulsions) and drug interactions (serotoninergic syndrome) related to its monoaminergic properties."
M,N,N,ae,114.0,137.0,serotoninergic syndrome,"Apart from expected opiate ADR, tramadol induced other ADR (increased risk of convulsions) and drug interactions (serotoninergic syndrome) related to its monoaminergic properties."
C,N,N,temporal,32.0,49.0,approximately 7pm,Apparently she had a seizure at approximately 7pm while talking to her husband.
C,C,N,lab,36.0,79.0,"blood test which indicated a level of ""1.1""","Apparently, the patient was given a blood test which indicated a level of ""1.1"", in the range for intoxication."
N,N,N,lab,81.0,110.0,in the range for intoxication,"Apparently, the patient was given a blood test which indicated a level of ""1.1"", in the range for intoxication."
M,N,N,temporal,0.0,30.0,Approximately 30 minutes later,"Approximately 30 minutes later, the patient had a lot of vomiting."
M,C,M,ae,57.0,65.0,vomiting,"Approximately 30 minutes later, the patient had a lot of vomiting."
C,N,N,temporal,14.0,41.0,one and a half months after,"Approximately one and a half months after starting Xyrem, she noticed an improvement in her pre-existing fibromyalgia."
M,M,N,sdrug,51.0,56.0,Xyrem,"Approximately one and a half months after starting Xyrem, she noticed an improvement in her pre-existing fibromyalgia."
N,C,N,medical history,73.0,117.0,improvement in her pre-existing fibromyalgia,"Approximately one and a half months after starting Xyrem, she noticed an improvement in her pre-existing fibromyalgia."
M,C,N,temporal,0.0,7.0,Apr2014,"Apr2014, treatment with isoniazid, rifampicin sodium, pyrazinamide and ethambutol dihydrochloride."
M,C,C,treatment,24.0,33.0,isoniazid,"Apr2014, treatment with isoniazid, rifampicin sodium, pyrazinamide and ethambutol dihydrochloride."
M,C,C,treatment,35.0,52.0,rifampicin sodium,"Apr2014, treatment with isoniazid, rifampicin sodium, pyrazinamide and ethambutol dihydrochloride."
M,C,C,treatment,54.0,66.0,pyrazinamide,"Apr2014, treatment with isoniazid, rifampicin sodium, pyrazinamide and ethambutol dihydrochloride."
M,C,C,treatment,71.0,97.0,ethambutol dihydrochloride,"Apr2014, treatment with isoniazid, rifampicin sodium, pyrazinamide and ethambutol dihydrochloride."
M,N,C,treatment,47.0,55.0,neupogen,As a corrective treatment the patient received neupogen.
M,N,N,status,45.0,69.0,permanently discontinued,"As a result of the events, study therapy was permanently discontinued."
M,C,M,sdrug,43.0,54.0,baricitinib,"As a result of the symptoms, the patient's baricitinib was discontinued."
M,N,N,status,59.0,71.0,discontinued,"As a result of the symptoms, the patient's baricitinib was discontinued."
M,N,N,status,29.0,41.0,hospitalized,"As a result, the patient was hospitalized on an unknown date."
C,C,N,ae,57.0,89.0,was unable to consume fluid/food,As adverse reactions patient was also referring that she was unable to consume fluid/food and she had less than 40 kilograms.
M,C,N,ae,98.0,124.0,had less than 40 kilograms,As adverse reactions patient was also referring that she was unable to consume fluid/food and she had less than 40 kilograms.
C,C,N,lab,7.0,61.0,QTcF prolongation has not returned to no more than 470,"As her QTcF prolongation has not returned to no more than 470 within 14 days, it was decided by the investigator to discontinue subject's participation in the trial."
N,N,N,temporal,62.0,76.0,within 14 days,"As her QTcF prolongation has not returned to no more than 470 within 14 days, it was decided by the investigator to discontinue subject's participation in the trial."
M,C,N,temporal,6.0,15.0,23Aug2019,"As of 23Aug2019 the events of scleroderma, dermatomyositis and weight gain continued and the outcome of urticaria, sore throat, tonsillitis and tumor suspicion were not reported."
M,M,C,ae,30.0,41.0,scleroderma,"As of 23Aug2019 the events of scleroderma, dermatomyositis and weight gain continued and the outcome of urticaria, sore throat, tonsillitis and tumor suspicion were not reported."
N,M,N,ae,43.0,58.0,dermatomyositis,"As of 23Aug2019 the events of scleroderma, dermatomyositis and weight gain continued and the outcome of urticaria, sore throat, tonsillitis and tumor suspicion were not reported."
N,C,N,ae,63.0,74.0,weight gain,"As of 23Aug2019 the events of scleroderma, dermatomyositis and weight gain continued and the outcome of urticaria, sore throat, tonsillitis and tumor suspicion were not reported."
M,C,N,ae,104.0,113.0,urticaria,"As of 23Aug2019 the events of scleroderma, dermatomyositis and weight gain continued and the outcome of urticaria, sore throat, tonsillitis and tumor suspicion were not reported."
N,C,N,ae,115.0,126.0,sore throat,"As of 23Aug2019 the events of scleroderma, dermatomyositis and weight gain continued and the outcome of urticaria, sore throat, tonsillitis and tumor suspicion were not reported."
M,C,N,ae,128.0,139.0,tonsillitis,"As of 23Aug2019 the events of scleroderma, dermatomyositis and weight gain continued and the outcome of urticaria, sore throat, tonsillitis and tumor suspicion were not reported."
N,N,N,ae,144.0,159.0,tumor suspicion,"As of 23Aug2019 the events of scleroderma, dermatomyositis and weight gain continued and the outcome of urticaria, sore throat, tonsillitis and tumor suspicion were not reported."
C,N,N,temporal,0.0,12.0,As of 3:43pm,"As of 3:43pm on 25/JUN/2018,he continued to exhibit potential epileptiform discharges on his EEG,repeated MRI(nuclear magnetic resonance imaging)showed no new structural lesions."
C,C,N,lab,52.0,85.0,potential epileptiform discharges,"As of 3:43pm on 25/JUN/2018,he continued to exhibit potential epileptiform discharges on his EEG,repeated MRI(nuclear magnetic resonance imaging)showed no new structural lesions."
M,N,N,lab,152.0,177.0,no new structural lesions,"As of 3:43pm on 25/JUN/2018,he continued to exhibit potential epileptiform discharges on his EEG,repeated MRI(nuclear magnetic resonance imaging)showed no new structural lesions."
M,N,N,age,39.0,50.0,70 year old,"As per reporter, this case refers to a 70 year old male patient, who  initiated study medication Azacitidine (dose and frequency not provided) from 24Aug2011 and Revlimid (dose and frequency was not provided) on a unknown date for the treatment of  MDS or AML diagnosed on an unspecified date."
M,N,N,sex,51.0,55.0,male,"As per reporter, this case refers to a 70 year old male patient, who  initiated study medication Azacitidine (dose and frequency not provided) from 24Aug2011 and Revlimid (dose and frequency was not provided) on a unknown date for the treatment of  MDS or AML diagnosed on an unspecified date."
M,N,N,temporal,148.0,157.0,24Aug2011,"As per reporter, this case refers to a 70 year old male patient, who  initiated study medication Azacitidine (dose and frequency not provided) from 24Aug2011 and Revlimid (dose and frequency was not provided) on a unknown date for the treatment of  MDS or AML diagnosed on an unspecified date."
M,C,C,ae,100.0,122.0,cardiopulmonary arrest,"As previously noted, the patient passed away on 05/Dec/2013 from the previously mentioned events of cardiopulmonary arrest, pneumonia, and renal failure."
M,N,N,ae,34.0,49.0,7 years of hell,"As she describes, she experienced 7 years of hell, she did not eat, in one month pass a bowel motion was 2x."
M,N,N,ae,55.0,66.0,did not eat,"As she describes, she experienced 7 years of hell, she did not eat, in one month pass a bowel motion was 2x."
N,N,N,temporal,68.0,80.0,in one month,"As she describes, she experienced 7 years of hell, she did not eat, in one month pass a bowel motion was 2x."
C,N,N,ae,81.0,107.0,pass a bowel motion was 2x,"As she describes, she experienced 7 years of hell, she did not eat, in one month pass a bowel motion was 2x."
N,C,N,temporal,0.0,15.0,At a later date,"At a later date, the blood insulin concentration at the medical facility where the patient was taken was found to be 2.79 mcIU/mL (normal range: 1.84-12.2), which excluded a possibility of insulin intoxication."
C,M,N,lab,21.0,155.0,blood insulin concentration at the medical facility where the patient was taken was found to be 2.79 mcIU/mL (normal range: 1.84-12.2),"At a later date, the blood insulin concentration at the medical facility where the patient was taken was found to be 2.79 mcIU/mL (normal range: 1.84-12.2), which excluded a possibility of insulin intoxication."
M,N,N,ae,189.0,209.0,insulin intoxication,"At a later date, the blood insulin concentration at the medical facility where the patient was taken was found to be 2.79 mcIU/mL (normal range: 1.84-12.2), which excluded a possibility of insulin intoxication."
M,C,N,lab,27.0,66.0,body temperature (BT) was 32 centigrade,"At hospital, the patient's body temperature (BT) was 32 centigrade, it was hypothermia, and blood sugar (BS) was 30s, it was hypoglycaemia."
M,M,N,ae,75.0,86.0,hypothermia,"At hospital, the patient's body temperature (BT) was 32 centigrade, it was hypothermia, and blood sugar (BS) was 30s, it was hypoglycaemia."
M,C,N,lab,92.0,116.0,blood sugar (BS) was 30s,"At hospital, the patient's body temperature (BT) was 32 centigrade, it was hypothermia, and blood sugar (BS) was 30s, it was hypoglycaemia."
M,M,N,ae,125.0,138.0,hypoglycaemia,"At hospital, the patient's body temperature (BT) was 32 centigrade, it was hypothermia, and blood sugar (BS) was 30s, it was hypoglycaemia."
M,N,N,status,43.0,63.0,went to the hospital,At that point we were out of danger and he went to the hospital.
N,M,C,lab,37.0,69.0,increased liver function testing,"At that visit, there was concern for increased liver function testing, elevated ferritin, raising concern for inflammatory markers, as well as detectable EBV by PCR."
M,M,C,lab,71.0,88.0,elevated ferritin,"At that visit, there was concern for increased liver function testing, elevated ferritin, raising concern for inflammatory markers, as well as detectable EBV by PCR."
N,C,C,lab,90.0,130.0,raising concern for inflammatory markers,"At that visit, there was concern for increased liver function testing, elevated ferritin, raising concern for inflammatory markers, as well as detectable EBV by PCR."
N,M,N,lab,143.0,164.0,detectable EBV by PCR,"At that visit, there was concern for increased liver function testing, elevated ferritin, raising concern for inflammatory markers, as well as detectable EBV by PCR."
M,N,C,status,96.0,100.0,died,"At the end of induction, CR was achieved in 56% (65 patients) without any predictive factor, 9% died from infection (n=6), cerebral hemorrhage (n=1) or MOF (n=4) and 35% (41 patients including 5 CRp) failed to achieve CR."
N,C,C,ae,106.0,115.0,infection,"At the end of induction, CR was achieved in 56% (65 patients) without any predictive factor, 9% died from infection (n=6), cerebral hemorrhage (n=1) or MOF (n=4) and 35% (41 patients including 5 CRp) failed to achieve CR."
M,N,N,status,15.0,24.0,admission,"At the time of admission, systolic blood pressure was in the 80's."
M,N,C,lab,26.0,65.0,systolic blood pressure was in the 80's,"At the time of admission, systolic blood pressure was in the 80's."
M,N,C,status,15.0,20.0,death,"At the time of death, PERICARDIAL EFFUSION did not resolve."
M,N,N,status,43.0,58.0,did not resolve,"At the time of death, PERICARDIAL EFFUSION did not resolve."
M,C,C,treatment,42.0,72.0,high blood pressure medication,"At the time of report, she was taking her high blood pressure medication regularly and was still taking medication for the seizure."
M,M,N,status,42.0,50.0,resolved,"At the time of reporting, the events were resolved."
M,N,C,status,42.0,52.0,recovering,"At the time of reporting, the patient was recovering from the event pneumonia."
M,N,N,status,42.0,52.0,recovering,"At the time of reporting, the patient was recovering from the events drug interaction and hypersensitivity pneumonitis."
M,M,M,ae,90.0,118.0,hypersensitivity pneumonitis,"At the time of reporting, the patient was recovering from the events drug interaction and hypersensitivity pneumonitis."
N,N,C,medical history,142.0,155.0,myelofibrosis,"At the time of the report 24 AML (13 newly diagnosed, 11 relapsed/refractory) , 11 MDS/CMML (5 newly diagnosed, 6 relapsed/refractory), and 1 myelofibrosis patient had been enrolled."
N,N,N,ae,65.0,77.0,ANAL FISTULA,"At the time of the report the outcome of the adverse events was: ANAL FISTULA:Not recovered/not resolved, ANAL HAEMORRHAGE:Not recovered/not resolved, ANXIETY:Not recovered/not resolved, ANXIETY:Not recovered/not resolved, ANXIETY:Not recovered/not resolved, ARTHRALGIA:Not recovered/not resolved, BACK PAIN:Not recovered/not resolved, BENIGN PROSTATIC HYPERPLASIA:Not recovered/not resolved, BLOOD PRESSURE DIASTOLIC DECREASED:Not recovered/not resolved, CHEST DISCOMFORT:Not recovered/not resolved, CHRONIC"
C,N,N,status,78.0,104.0,Not recovered/not resolved,"At the time of the report the outcome of the adverse events was: ANAL FISTULA:Not recovered/not resolved, ANAL HAEMORRHAGE:Not recovered/not resolved, ANXIETY:Not recovered/not resolved, ANXIETY:Not recovered/not resolved, ANXIETY:Not recovered/not resolved, ARTHRALGIA:Not recovered/not resolved, BACK PAIN:Not recovered/not resolved, BENIGN PROSTATIC HYPERPLASIA:Not recovered/not resolved, BLOOD PRESSURE DIASTOLIC DECREASED:Not recovered/not resolved, CHEST DISCOMFORT:Not recovered/not resolved, CHRONIC"
M,N,N,ae,106.0,122.0,ANAL HAEMORRHAGE,"At the time of the report the outcome of the adverse events was: ANAL FISTULA:Not recovered/not resolved, ANAL HAEMORRHAGE:Not recovered/not resolved, ANXIETY:Not recovered/not resolved, ANXIETY:Not recovered/not resolved, ANXIETY:Not recovered/not resolved, ARTHRALGIA:Not recovered/not resolved, BACK PAIN:Not recovered/not resolved, BENIGN PROSTATIC HYPERPLASIA:Not recovered/not resolved, BLOOD PRESSURE DIASTOLIC DECREASED:Not recovered/not resolved, CHEST DISCOMFORT:Not recovered/not resolved, CHRONIC"
N,N,N,ae,151.0,158.0,ANXIETY,"At the time of the report the outcome of the adverse events was: ANAL FISTULA:Not recovered/not resolved, ANAL HAEMORRHAGE:Not recovered/not resolved, ANXIETY:Not recovered/not resolved, ANXIETY:Not recovered/not resolved, ANXIETY:Not recovered/not resolved, ARTHRALGIA:Not recovered/not resolved, BACK PAIN:Not recovered/not resolved, BENIGN PROSTATIC HYPERPLASIA:Not recovered/not resolved, BLOOD PRESSURE DIASTOLIC DECREASED:Not recovered/not resolved, CHEST DISCOMFORT:Not recovered/not resolved, CHRONIC"
M,N,N,ae,259.0,269.0,ARTHRALGIA,"At the time of the report the outcome of the adverse events was: ANAL FISTULA:Not recovered/not resolved, ANAL HAEMORRHAGE:Not recovered/not resolved, ANXIETY:Not recovered/not resolved, ANXIETY:Not recovered/not resolved, ANXIETY:Not recovered/not resolved, ARTHRALGIA:Not recovered/not resolved, BACK PAIN:Not recovered/not resolved, BENIGN PROSTATIC HYPERPLASIA:Not recovered/not resolved, BLOOD PRESSURE DIASTOLIC DECREASED:Not recovered/not resolved, CHEST DISCOMFORT:Not recovered/not resolved, CHRONIC"
M,N,N,ae,298.0,307.0,BACK PAIN,"At the time of the report the outcome of the adverse events was: ANAL FISTULA:Not recovered/not resolved, ANAL HAEMORRHAGE:Not recovered/not resolved, ANXIETY:Not recovered/not resolved, ANXIETY:Not recovered/not resolved, ANXIETY:Not recovered/not resolved, ARTHRALGIA:Not recovered/not resolved, BACK PAIN:Not recovered/not resolved, BENIGN PROSTATIC HYPERPLASIA:Not recovered/not resolved, BLOOD PRESSURE DIASTOLIC DECREASED:Not recovered/not resolved, CHEST DISCOMFORT:Not recovered/not resolved, CHRONIC"
M,N,N,ae,336.0,364.0,BENIGN PROSTATIC HYPERPLASIA,"At the time of the report the outcome of the adverse events was: ANAL FISTULA:Not recovered/not resolved, ANAL HAEMORRHAGE:Not recovered/not resolved, ANXIETY:Not recovered/not resolved, ANXIETY:Not recovered/not resolved, ANXIETY:Not recovered/not resolved, ARTHRALGIA:Not recovered/not resolved, BACK PAIN:Not recovered/not resolved, BENIGN PROSTATIC HYPERPLASIA:Not recovered/not resolved, BLOOD PRESSURE DIASTOLIC DECREASED:Not recovered/not resolved, CHEST DISCOMFORT:Not recovered/not resolved, CHRONIC"
M,N,C,status,42.0,55.0,not recovered,At the time of the report the patient had not recovered from the event.
C,N,C,status,42.0,55.0,not recovered,At the time of the report the patient had not recovered yet from the event.
M,N,N,status,42.0,59.0,not yet recovered,At the time of the report the patient had not yet recovered.
M,C,N,temporal,40.0,51.0,August 2018,"At the time of this follow up report in August 2018, the event outcome was not reported."
M,C,N,temporal,40.0,52.0,January 2020,"At the time of this follow up report in January 2020, the event was considered recovering and the baricitinib was discontinued after the initial dose."
M,M,N,status,79.0,89.0,recovering,"At the time of this follow up report in January 2020, the event was considered recovering and the baricitinib was discontinued after the initial dose."
M,N,N,status,114.0,126.0,discontinued,"At the time of this follow up report in January 2020, the event was considered recovering and the baricitinib was discontinued after the initial dose."
M,N,C,ae,105.0,134.0,platelet transfusion reaction,"At the time of this report it was unclear if the event were possibly related to an infectious process, a platelet transfusion reaction, pulmonary embolism, ischemic event or Vidaza therapy."
